#,漢字,聲母,韻母,調
1,睔,柳,春公,1
2,隴,柳,春公,2
3,壠,柳,春公,2
4,壟,柳,春公,2
5,竉,柳,春公,2
6,龍,柳,春公,2
7,鸗,柳,春公,2
8,碌,柳,春公,4
9,角,柳,春公,4
10,劣,柳,春公,4
11,倫,柳,春公,5
12,綸,柳,春公,5
13,輪,柳,春公,5
14,淪,柳,春公,5
15,崙,柳,春公,5
16,瓏,柳,春公,5
17,朧,柳,春公,5
18,掄,柳,春公,5
19,曨,柳,春公,5
20,惀,柳,春公,5
21,踚,柳,春公,5
22,腀,柳,春公,5
23,圇,柳,春公,5
24,鯩,柳,春公,5
25,錀,柳,春公,5
26,𧱜,柳,春公,5
27,嚨,柳,春公,5
28,蜦,柳,春公,5
29,碖,柳,春公,5
30,䆍,柳,春公,5
31,籠,柳,春公,5
32,櫳,柳,春公,5
33,礱,柳,春公,5
34,聾,柳,春公,5
35,䑳,柳,春公,5
36,弄,柳,春公,7
37,㑝,柳,春公,7
38,哢,柳,春公,7
39,㢅,柳,春公,7
40,𡋱,柳,春公,7
41,𢙱,柳,春公,7
42,𨛓,柳,春公,7
43,梇,柳,春公,7
44,律,柳,春公,8
45,繂,柳,春公,8
46,轆,柳,春公,8
47,膟,柳,春公,8
48,𠷈,柳,春公,8
49,嵂,柳,春公,8
50,𢟳,柳,春公,8
51,率,柳,春公,8
52,𩴐,柳,春公,8
53,枋,邊,春公,1
54,琫,邊,春公,2
55,唪,邊,春公,2
56,糞,邊,春公,3
57,𡊄,邊,春公,3
58,畚,邊,春公,3
59,不,邊,春公,4
60,卜,邊,春公,4
61,腹,邊,春公,4
62,䟔,邊,春公,4
63,房,邊,春公,5
64,縫,邊,春公,5
65,鈍,邊,春公,7
66,僕,邊,春公,8
67,瀑,邊,春公,8
68,樸,邊,春公,8
69,觳,邊,春公,8
70,匐,邊,春公,8
71,蔔,邊,春公,8
72,𪇰,邊,春公,8
73,𨄑,邊,春公,8
74,菜,邊,春公,8
75,䗱,邊,春公,8
76,暴,邊,春公,8
77,濮,邊,春公,8
78,公,求,春公,1
79,蚣,求,春公,1
80,功,求,春公,1
81,工,求,春公,1
82,攻,求,春公,1
83,君,求,春公,1
84,軍,求,春公,1
85,𨑪,求,春公,1
86,鍕,求,春公,1
87,䲲,求,春公,1
88,桾,求,春公,1
89,衮,求,春公,2
90,滚,求,春公,2
91,𣽙,求,春公,2
92,㨰,求,春公,2
93,䜇,求,春公,2
94,鯀,求,春公,2
95,輥,求,春公,2
96,𩌌,求,春公,2
97,緄,求,春公,2
98,鮌,求,春公,2
99,蓘,求,春公,2
100,裷,求,春公,2
101,𢟦,求,春公,2
102,貢,求,春公,3
103,棍,求,春公,3
104,愩,求,春公,3
105,㔶,求,春公,3
106,贛,求,春公,3
107,羾,求,春公,3
108,灨,求,春公,3
109,谷,求,春公,4
110,榖,求,春公,4
111,酷,求,春公,4
112,梏,求,春公,4
113,鵠,求,春公,4
114,嚳,求,春公,4
115,趉,求,春公,4
116,轂,求,春公,4
117,唂,求,春公,4
118,悎,求,春公,4
119,焅,求,春公,4
120,牿,求,春公,4
121,䶜,求,春公,4
122,告,求,春公,4
123,蠖,求,春公,4
124,群,求,春公,5
125,羣,求,春公,5
126,裙,求,春公,5
127,褌,求,春公,5
128,拳,求,春公,5
129,𤺽,求,春公,5
130,𨞗,求,春公,5
131,郡,求,春公,7
132,珺,求,春公,7
133,𩂿,求,春公,7
134,鵘,求,春公,7
135,𨛦,求,春公,7
136,掘,求,春公,8
137,倔,求,春公,8
138,淈,求,春公,8
139,𣨢,求,春公,8
140,䞷,求,春公,8
141,𣮈,求,春公,8
142,空,氣悉,春公,1
143,崆,氣悉,春公,1
144,箜,氣悉,春公,1
145,倥,氣悉,春公,1
146,涳,氣悉,春公,1
147,㲁,氣悉,春公,1
148,鵼,氣悉,春公,1
149,悾,氣悉,春公,1
150,𪔣,氣悉,春公,1
151,孔,氣悉,春公,2
152,閫,氣悉,春公,2
153,梱,氣悉,春公,2
154,壼,氣悉,春公,2
155,綑,氣悉,春公,2
156,悃,氣悉,春公,2
157,稇,氣悉,春公,2
158,齫,氣悉,春公,2
159,𪊽,氣悉,春公,2
160,麏,氣悉,春公,2
161,捆,氣悉,春公,2
162,控,氣悉,春公,3
163,鞚,氣悉,春公,3
164,空,氣悉,春公,3
165,屈,氣悉,春公,4
166,𠜾,氣悉,春公,4
167,尻,氣悉,春公,4
168,詘,氣悉,春公,4
169,哭,氣悉,春公,4
170,䓛,氣悉,春公,4
171,𧿺,氣悉,春公,4
172,絀,氣悉,春公,4
173,𧌑,氣悉,春公,4
174,𨧱,氣悉,春公,4
175,𩣹,氣悉,春公,4
176,䧊,氣悉,春公,4
177,㑁,氣悉,春公,8
178,𥏘,氣悉,春公,8
179,𡲬,氣悉,春公,8
180,東,低聲,春公,1
181,敦,低聲,春公,1
182,諄,低聲,春公,1
183,弴,低聲,春公,1
184,惇,低聲,春公,1
185,屯,低聲,春公,1
186,迍,低聲,春公,1
187,𩂓,低聲,春公,1
188,涷,低聲,春公,1
189,窀,低聲,春公,1
190,𢛔,低聲,春公,1
191,蝀,低聲,春公,1
192,董,低聲,春公,2
193,懂,低聲,春公,2
194,𦡂,低聲,春公,2
195,𧽿,低聲,春公,2
196,𧄓,低聲,春公,2
197,蕫,低聲,春公,2
198,凍,低聲,春公,3
199,棟,低聲,春公,3
200,頓,低聲,春公,3
201,囤,低聲,春公,3
202,蝀,低聲,春公,3
203,𧡍,低聲,春公,3
204,篤,低聲,春公,4
205,炢,低聲,春公,4
206,督,低聲,春公,4
207,裻,低聲,春公,4
208,笜,低聲,春公,4
209,同,低聲,春公,5
210,仝,低聲,春公,5
211,桐,低聲,春公,5
212,童,低聲,春公,5
213,僮,低聲,春公,5
214,瞳,低聲,春公,5
215,彤,低聲,春公,5
216,鼕,低聲,春公,5
217,罿,低聲,春公,5
218,穜,低聲,春公,5
219,曈,低聲,春公,5
220,朣,低聲,春公,5
