字頭#,漢字,IDS替代字,羅馬字,羅馬字（轉寫）,頁碼,列,行,部首#,註釋
1,一,,ék,ik4,1748,1,1,1,
1,一,,siŏh,sioh8,1748,1,1,1,
2,七,,chék,cik4,1748,1,2,1,
3,丁,,dĭng,ding1,1748,1,3,1,
4,丈,,diông,diong7,1748,1,4,1,
4,丈,,dâung,dong7,1748,1,4,1,
4,丈,,diòng,diong5,1748,1,4,1,
4,丈,,diōng,diong2,1748,1,4,1,
5,下,,hâ,ha7,1748,1,5,1,
6,三,,săng,sang1,1748,1,6,1,
6,三,,sáng,sang3,1748,1,6,1,
6,〣,,săng,sang1,1748,1,6,1,
6,〣,,sáng,sang3,1748,1,6,1,
7,上,,siông,siong7,1748,1,7,1,
7,上,,siōng,siong2,1748,1,7,1,
8,万,,uâng,uang7,1748,1,8,1,
9,不,,bók,buk4,1748,1,9,1,
10,丐,,gái,gai3,1748,1,10,1,
11,冇,,páng,pang3,1748,1,11,1,
12,丑,,tiū,tiu2,1748,1,12,1,
13,丙,,bīng,bing2,1748,1,13,1,
14,且,,cṳ̆,zy1,1748,1,14,1,
14,且,,chiā,cia2,1748,1,14,1,
15,𠕆,,dâing,deng7,1748,1,15,1,
16,丘,,kiŭ,kiu1,1748,1,16,1,
17,丕,,pī,pi2,1748,1,17,1,
18,世,,sié,sie3,1748,2,1,1,
19,丢,,diŭ,diu1,1748,2,2,1,
19,丢,,liŭ,liu1,1748,2,2,1,
20,両,,liōng,liong2,1748,2,3,1,
21,丞,,sìng,sing5,1748,2,4,1,
22,𠩄,,sū,su2,1748,2,5,1,
23,並,,béng,bing3,1748,2,6,1,
24,丨,,gūng,gung2,1748,2,7,2,
25,丫,,ă,a1,1748,2,8,2,
26,个,,gó̤,go3,1748,2,9,2,
27,中,,dṳ̆ng,dyng1,1748,2,10,2,
27,中,,dé̤ṳng,dyng3,1748,2,10,2,
27,中,,dŏng,dong1,1748,2,10,2,
28,丰,,hŭng,hung1,1748,2,11,2,
29,丱,,guáng,guang3,1748,2,12,2,
30,串,,chuóng,cuong3,1748,2,13,2,原書有誤，已更正
31,丶,,cṳ̄,zy2,1748,2,14,3,
32,丸,,uòng,uong5,1748,2,15,3,
33,丹,,dăng,dang1,1748,2,16,3,
34,主,,cṳ̄,zy2,1748,3,1,3,
34,主,,cuō,zuo2,1748,3,1,3,原書有誤，已更正
35,丼,,păng,pang1,1748,3,2,3,
35,丼,,pōng,pong2,1748,3,2,3,
36,乓,,pŏng,pong1,1748,3,3,3,
37,丿,,piék,piek4,1748,3,4,4,
38,乃,,nāi,nai2,1748,3,5,4,
