#,漢字,羅馬字,漢字更正,羅馬字更正,註釋
1,一,"ék,siŏh",,,
2,七,chék,,,
3,丁,dĭng,,,
4,丈,"diông,dâung,diòng,diōng",,,
5,下,hâ,,,
6,"三,〣","săng,sáng",,,
7,上,"siông,siōng",,,
8,万,uâng,,,
9,不,bók,,,
10,丐,gái,,,
11,冇,páng,,,
12,丑,tiū,,,
13,丙,bīng,,,
14,且,"cṳ̆,chiā",,,
15,𠕆,dâing,,,
16,丘,kiŭ,,,
17,丕,pī,,,
18,世,sié,,,
19,丢,"diŭ,liŭ",,,
20,両,liōng,,,
21,丞,sìng,,,
22,𠩄,sū,,,
23,並,béng,,,
25,丨,gūng,,,
26,丫,ă,,,
27,个,gó̤,,,
28,中,"dṳ̆ng,dé̤ṳng,dŏng",,,
29,丰,hŭng,,,
30,丱,guáng,,,
31,串,chióng,,,
33,丶,cṳ̄,,,
34,丸,uòng,,,
35,丹,dăng,,,
36,主,"cṳ̄,ciō",,,
37,丼,"păng,pōng",,,
38,乓,pŏng,,,
40,丿,piék,,,
41,乃,nāi,,,
42,乂,ngiê,,,
43,〤,"sé,sé̤ṳ",,,
44,久,giū,,,
45,乇,nó̤h,,,
46,之,cĭ,,,
47,乍,"cá,câ",,,
48,乎,hù,,,
49,乏,huăk,,,
50,乒,pĭng,,,
51,乖,guăi,,,
52,乘,"sìng,sêng",,,
54,乙,ék,,,
55,九,"giū,gāu",,,
56,乜,miéh,,,
57,也,"iá,iâ",,,
58,乞,ké̤ṳk,,,
59,乩,gĭ,,,
60,乱,"luâng,lâung",,,
61,乳,"ṳ̄,nèng",,,
62,乾,"găng,gièng",,,
63,亂,"luâng,lâung",,,
65,亅,kuók,,,
66,了,"liēu,lāu",,,
67,予,"ṳ̀,ṳ̄",,,
68,事,sê̤ṳ,,,
70,二,"nê,lâng",,,
71,于,ṳ̆,,,
72,井,"cīng,cāng",,,
73,互,hô,,,
74,五,"ngū,ngô",,,
75,云,ùng,,,
76,亙,gēng,,,
77,亘,gēng,,,
78,况,huóng,,,
79,些,siĕ,,,
80,亞,ā,,,
81,亟,"hé,gék",,,
83,亠,tèu,,,
84,亡,uòng,,,
85,亢,"kŏng,káung",,,
86,交,gău,,,
